City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
501,coahuayana de hidalgo,18.7,-103.6583,34.75,36,0,3.38,MX,1717007879
502,mar del plata,-38.0023,-57.5575,14.01,79,40,8.75,AR,1717007879
503,clearwater,27.9659,-82.8001,35.99,61,0,5.66,US,1717007879
504,tianpeng,30.9866,103.9393,19.26,83,100,2.29,CN,1717007879
505,lib,8.3122,167.3766,28.29,78,80,5.54,MH,1717007879
506,selfoss,63.9331,-20.9971,9.47,55,100,4.45,IS,1717007879
507,es castell,39.8795,4.2854,22.38,68,20,1.54,ES,1717007879
508,wynyard,-41.0,145.7167,12.69,86,100,1.46,AU,1717007880
509,princeville,45.7668,-61.2985,25.36,63,0,6.17,CA,1717007880
510,tocopilla,-22.092,-70.1979,20.19,68,23,4.83,CL,1717007880
511,usogorsk,63.4106,48.6872,7.04,39,14,2.41,RU,1717007880
512,timbuktu,16.7735,-3.0074,40.91,7,7,4.17,ML,1717007880
513,le grau-du-roi,43.5388,4.1356,22.99,58,100,3.6,FR,1717007880
514,amga,60.8953,131.9608,11.97,78,11,0.98,RU,1717007881
515,huinca renanco,-34.8404,-64.3758,15.74,36,100,3.88,AR,1717007881
516,puerto santa,-8.9906,-78.6456,20.44,75,4,4.99,PE,1717007881
517,machico,32.7,-16.7667,22.62,70,20,6.69,PT,1717007881
518,nobres,-14.7203,-56.3275,26.9,43,0,2.59,BR,1717007881
519,borogontsy,62.6683,131.1683,13.79,72,86,1.75,RU,1717007881
520,dunedin,-45.8742,170.5036,8.22,65,93,1.34,NZ,1717007882
521,kotabumi,-4.8333,104.9,24.13,95,2,1.69,ID,1717007882
522,jintur,19.6167,76.7,33.13,38,53,8.26,IN,1717007882
523,noshiro,40.2039,140.0242,13.41,87,100,4.12,JP,1717007882
524,sakakah,29.9697,40.2064,34.76,13,6,3.52,SA,1717007882
525,ridder,50.355,83.5133,9.36,76,100,2.67,KZ,1717007882
526,nova xavantina,-14.6667,-52.35,30.29,40,0,2.13,BR,1717007882
527,qui nhon,13.7667,109.2333,27.89,77,100,3.36,VN,1717007883
528,ciudad bolivar,8.1222,-63.5497,37.38,31,59,3.91,VE,1717007883
529,mangaratiba,-22.9597,-44.0406,20.48,70,100,4.12,BR,1717007883
530,bridgewater,44.3835,-64.5155,24.5,66,2,8.23,CA,1717007883
531,bondo,3.8146,23.6866,22.94,93,95,2.34,CD,1717007883
532,penn yan,42.6609,-77.0539,19.2,73,100,4.47,US,1717007883
533,mbandaka,0.0487,18.2603,24.43,83,50,0.81,CD,1717007883
534,al qadarif,14.0349,35.3834,35.92,23,97,2.3,SD,1717007884
535,iquique,-20.2208,-70.1431,18.02,71,9,3.01,CL,1717007638
536,novodvinsk,64.4165,40.8122,12.66,52,100,2.89,RU,1717007827
537,lagoa,39.05,-27.9833,17.89,92,100,3.77,PT,1717007884
538,puerto madryn,-42.7692,-65.0385,13.37,38,100,2.66,AR,1717007884
539,irvington,40.7323,-74.2349,25.5,50,75,3.6,US,1717007884
540,aiquile,-18.2041,-65.1807,21.2,34,11,3.73,BO,1717007884
541,ad dawadimi,24.5077,44.3924,34.64,9,90,2.32,SA,1717007885
542,sisimiut,66.9395,-53.6735,-0.61,95,100,11.55,GL,1717007885
543,siguiri,11.6667,-9.5,33.73,36,70,2.14,GN,1717007885
544,faya-largeau,17.9257,19.1043,38.54,10,10,6.61,TD,1717007885
545,loukhi,66.0764,33.0381,4.04,87,92,2.71,RU,1717007885
546,puerto armuelles,8.2833,-82.8667,30.99,74,48,0.45,PA,1717007638
547,pechora,65.1472,57.2244,-2.86,85,100,1.79,RU,1717007885
548,yinchuan,38.4681,106.2731,20.88,16,86,2.6,CN,1717007885
549,custodia,-8.0875,-37.6431,32.04,31,4,2.82,BR,1717007886
550,chake chake,-5.2459,39.7666,25.61,66,14,6.48,TZ,1717007886
551,sur,22.5667,59.5289,35.19,45,4,4.54,OM,1717007886
552,zavolzh'ye,56.6428,43.3936,22.22,70,4,1.87,RU,1717007886
553,arteche,12.2645,125.4048,25.86,92,100,2.81,PH,1717007886
554,port-gentil,-0.7193,8.7815,27.01,87,95,4.98,GA,1717007886
555,leh,34.1667,77.5833,4.31,59,5,1.82,IN,1717007886
556,puerto baquerizo moreno,-0.9,-89.6,26.55,65,75,6.17,EC,1717007887
557,loa janan,-0.583,117.095,23.71,97,100,0.11,ID,1717007887
558,mirny,62.5353,113.9611,15.13,57,3,2.24,RU,1717007732
559,banda aceh,5.5577,95.3222,28.22,78,96,7.19,ID,1717007887
560,guadalupe y calvo,26.1,-106.9667,28.4,13,99,5.53,MX,1717007887
561,turan,16.0678,108.2208,30.99,70,20,1.03,VN,1717007847
562,smidovich,48.6,133.8167,6.43,74,99,2.17,RU,1717007887
563,noumea,-22.2763,166.4572,21.11,99,20,4.27,NC,1717007887
564,morogoro,-6.8167,37.6667,19.56,73,4,1.18,TZ,1717007888
565,nar'yan-mar,67.6713,53.087,-5.5,91,18,4.02,RU,1717007888
566,road town,18.4167,-64.6167,31.02,70,40,4.12,VG,1717007607
567,mathba,22.2855,89.9629,29.51,87,87,6.0,BD,1717007888
568,azzaba,36.7394,7.1053,18.26,67,99,0.68,DZ,1717007888
569,bahce,37.1972,36.5766,17.37,96,27,2.56,TR,1717007888
570,flin flon,54.7682,-101.865,19.91,45,40,3.6,CA,1717007888
571,rovinj,45.08,13.64,21.9,75,100,2.23,HR,1717007888
572,port shepstone,-30.7414,30.455,19.29,63,0,4.16,ZA,1717007889
573,nguigmi,14.2495,13.1092,35.18,28,0,4.03,NE,1717007889
574,xiaoweizhai,26.1903,107.5125,19.53,99,100,2.47,CN,1717007889
575,buala,-8.145,159.5921,25.62,89,100,2.49,SB,1717007889
576,guilin,25.2819,110.2864,23.06,95,100,1.45,CN,1717007746
